2022.01.20;2022.02.04;2022.02.18;2022.03.04;2022.03.18;2022.04.05;2022.04.20;2022.05.05;2022.05.20;2022.06.03;2022.06.20;2022.07.05;2022.07.20;2022.08.05;2022.08.19;2022.09.05;2022.09.20;2022.10.05;2022.10.20;2022.11.02;2022.11.18;2022.12.05;2022.12.20;2022.12.30
Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance;Advance;Balance
27188;120712;53167;94733;37286;110614;45571;102329;34800;113100;41429;106471;45571;102329;41609;106291;43500;104400;41429;106471;39150;108750;43500;104400
